Q1. Age,Q2. Gender,Q3. What is your marital status?,Q4. What is your highest level of education?,Q5. What industry do you work in?,Q6. What is your position level at work?,1. Do you own any of the following?->Mobile Smartphone,"1. Do you own any of the following?->Bank Cards (Credit, Debit, Pre-paid)",1. Do you own any of the following?->Touch n Go,1. Do you own any of the following?->Internet Services (e.g: Broadband),1. Do you own any of the following?->E-wallet account (E.g: MOL or PayPal),"1. Do you own any of the following?->Internet of Things gadget (e.g: Fitbit – measure steps, etc)",1. Do you own any of the following?->Blockchain / Cryptocurrency Coin,1. Do you own any of the following?->HealthCare Gadget (E.g: Blood pressure measure device etc),"1. Do you own any of the following?->Touch n Go, EzLink etc",3. Have you made any electronic payments in the past 12 months?->Yes (Mobile),"3. Have you made any electronic payments in the past 12 months?->Yes (Bank Cards (i.e. Credit, Debit, Pre-paid))",3. Have you made any electronic payments in the past 12 months?->Yes (Touch n Go),3. Have you made any electronic payments in the past 12 months?->Yes (Internet Services (e.g: Broadband)),3. Have you made any electronic payments in the past 12 months?->Yes (E-wallet account (E.g: MOL or PayPal)),3. Have you made any electronic payments in the past 12 months?->Yes (Blockchain / Cryptocurrency Coin solutions),3. Have you made any electronic payments in the past 12 months?->No,"3. Have you made any electronic payments in the past 12 months?->Yes (Touch n Go, Ezlink etc)","6. E-payment purchasing, Loyalty Points and Crypto Coin [(1) Have you ever purchased anything using the E-payment mode?]->None",PE1: I find Blockchain / Cryptocurrency Coin useful in me.,PE2: Using Blockchain / Cryptocurrency Coin enables me to accomplish tasks more quickly.,PE3: Using Blockchain / Cryptocurrency Coin increases my productivity.,PE4: Using Blockchain / Cryptocurrency Coin increases my chances of getting more choices.,EE1: My interaction with Blockchain / Cryptocurrency Coin is clear and understandable.,EE2: It is easy for me to become skillful at using Blockchain / Cryptocurrency Coin.,EE3: I find Blockchain / Cryptocurrency Coin easy to use.,EE4: Learning to operate Blockchain / Cryptocurrency Coin is easy for me.,AT1: Using Blockchain / Cryptocurrency Coin is a good idea.,AT2: Blockchain / Cryptocurrency Coin makes effort more interesting.,AT3: Working with Blockchain / Cryptocurrency Coin is fun.,AT4: I like working with Blockchain / Cryptocurrency Coin.,SI1: People who influence my behavior think that I should use Blockchain / Cryptocurrency Coin.,SI2: People who are important to me think that I should use Blockchain / Cryptocurrency Coin.,SI3: There are more options in the marketplace for the use of Blockchain / Cryptocurrency Coin.,"SI4: In general, the company has supported the use of Blockchain / Cryptocurrency Coin.",FC1: I have the resources necessary to use Blockchain / Cryptocurrency Coin.,FC2: I have the knowledge necessary to use Blockchain / Cryptocurrency Coin.,FC3: Blockchain / Cryptocurrency Coin is compatible with other systems I use.,FC4: A specific person (or group) is available for assistance with Blockchain / Cryptocurrency Coin difficulties.,"SE1: I can complete a job or task using Blockchain / Cryptocurrency Coin , if there is no one around to tell me what to do.","SE2: I can complete a job or task using Blockchain / Cryptocurrency Coin , if I can call someone for help if I get stuck.","SE3: I can complete a job or task using Blockchain / Cryptocurrency Coin , if I have a lot of time to complete the job for which the software is provided.","SE4: I can complete a job or task using Blockchain / Cryptocurrency Coin , if I have just the built-in help facility for assistance.",AX1: I feel apprehensive about using Blockchain / Cryptocurrency Coin.,AX2: It scares me to think that I could lose a lot of information using Blockchain / Cryptocurrency Coin by hitting the wrong key.,AX3: I hesitate to use Blockchain / Cryptocurrency Coin for fear of making mistakes I cannot correct.,AX4: Blockchain / Cryptocurrency Coin is somewhat intimidating to me.,T1: I feel comfortable using Blockchain / Cryptocurrency Coin.,T2: I feel the reliability to use Blockchain / Cryptocurrency Coin.,T3: I am glad about the service quality to use Blockchain / Cryptocurrency Coin.,T4: Blockchain / Cryptocurrency Coin Integrity is vital to me.,BI1: I intend to use Blockchain / Cryptocurrency Coin.,BI2: I plan to invest Blockchain / Cryptocurrency Coin.,BI3: I plan to have Blockchain / Cryptocurrency Coin as an E-Wallet.,BI4: I plan to use Blockchain / Cryptocurrency Coin for E-payment transaction to buy stuff.
< 25 years,Female,Single,College/university,Banking / Finance,Other,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,2,2,2,2,3,3,3,3,4,4,4,3,3,3,4,3,2,2,3,2,2,4,4,4,3,4,4,3,2,1,2,3,3,3,3,3
< 25 years,Female,Single,College/university,Other,Other,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,1,1,1,1,1,1,1,1,3,3,3,3,1,1,3,3,1,1,3,1,1,1,1,1,5,5,4,4,2,2,2,2,2,2,2,2
41 - 55 years,Female,Single,College/university,Manufacturing,Middle management,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,4,5,4,5,3,2,2,2,4,4,4,4,3,3,2,3,3,2,2,3,2,3,3,4,3,4,4,3,3,3,3,4,3,4,4,4
< 25 years,Male,Single,College/university,Education,Other,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,3,3,3,3,2,3,3,3,4,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3
< 25 years,Female,Single,College/university,Other,Other,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,3,3,4,4,3,4,3,4,5,4,4,4,2,3,2,3,2,3,3,3,4,4,4,3,5,4,4,4,3,4,4,4,4,5,4,4
26 - 40 years,Male,Married,College/university,Healthcare,Professional,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,4,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3
above 55 years,Male,Married,College/university,Banking / Finance,Middle management,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,1,1,5,1,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,5
above 55 years,Male,Married,Graduate school,Other,Top management,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,1,1,1,1,1,1,1
above 55 years,Male,Married,College/university,Banking / Finance,Professional,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,5,5,5,5,1,1,1,5,1,1,1,1
26 - 40 years,Male,Married,Graduate school,Education,Top management,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,1,2,1,1,2,1,1,1,4,4,3,2,1,1,1,1,2,2,2,2,2,1,1,2,1,3,3,2,2,2,2,2,3,2,2,2
41 - 55 years,Male,Married,Secondary/High school,Other,Other,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
< 25 years,Female,Single,Graduate school,Other,Other,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,4,3,4,4,3,3,2,2,4,4,4,3,3,4,4,3,3,2,3,4,2,4,4,4,4,5,4,4,3,3,3,3,4,4,4,4
